time,close,high,low,open,volumefrom,volumeto
1515715440,1129.25,1131.82,1128.43,1131.79,565.16,638720.38
1515715500,1130.36,1131.17,1127.82,1129.21,971.24,1095830.79
1515715560,1129.13,1131.39,1128.4,1130.7,498.36,562302.96
1515715620,1126.7,1129.27,1126.67,1128.5,447.88,504198.77
1515715680,1121.46,1126.81,1119.78,1126.68,1084.75,1218609.69
1515715740,1118.54,1121.46,1116.67,1121.46,725.23,811264.42
1515715800,1120.78,1120.87,1118.1,1118.5,485.59,544198.19
1515715860,1119.91,1121.99,1119.91,1120.78,554.21,620889.58
1515715920,1117.95,1120.22,1117.34,1119.67,458.91,512401.01
1515715980,1118.29,1119.15,1117.18,1117.95,323.82,361784.61
1515716040,1117.22,1118.29,1117.22,1118.29,260.02,291012.41
1515716100,1115.95,1117.26,1115.19,1117.26,455.42,506630.14
1515716160,1118.28,1119.06,1115.92,1115.95,509.39,566898.81
1515716220,1118.93,1119.27,1118.4,1118.71,232.67,259691.81
1515716280,1121.27,1122.13,1118.93,1118.93,1031.63,1158265.16
1515716340,1121.89,1122.57,1121.15,1122.33,196.02,220901.37
1515716400,1122.04,1122.25,1121.48,1121.89,148.26,167167.14
1515716460,1122.85,1123.33,1121.76,1122.04,401.88,451168.76
1515716520,1122.02,1123.69,1121.8,1122.85,361.84,406580.43
1515716580,1118.18,1122.64,1118.18,1122.02,472.57,529442.09
1515716640,1112.74,1118.04,1112.68,1118.01,700.93,785923.91
1515716700,1115.01,1115.98,1112.65,1112.69,503.4,559854.63
1515716760,1111.23,1115.14,1111.19,1115.01,481.81,536353.01
1515716820,1106.3,1111.23,1106.14,1111.23,3779.45,4168481.83
1515716880,1098.62,1106.3,1094.49,1106.3,2802.39,3060214.29
1515716940,1100.82,1101.02,1098.22,1098.42,1605.3,1760642.86
1515717000,1100.4,1101.9,1099.7,1101.16,1474.31,1619714.47
1515717060,1097.13,1100.61,1095.71,1100.4,2725.2,2982118.43
1515717120,1094.38,1100.34,1094.02,1097.11,987.84,1089444.31
1515717180,1089.78,1094.58,1089.78,1094.38,1547.4,1705995.74
1515717240,1089.33,1089.78,1087.61,1089.75,1551.23,1685622.13
